"시도(1)","시군구(1)","시점","항목","레벨01(1)",데이터
"울산","계","2020. 04","영업용","화물",9310
"울산","계","2020. 04","영업용","특수",2148
"경기","계","2020. 04","관용","승용",7231
"경기","계","2020. 04","관용","승합",4128
"경기","계","2020. 04","관용","화물",5679
"경기","계","2020. 04","관용","특수",500
"경기","계","2020. 04","자가용","승용",4722145
"경기","계","2020. 04","자가용","승합",171861
"경기","계","2020. 04","자가용","화물",682330
"경기","계","2020. 04","자가용","특수",7026
"경기","계","2020. 04","영업용","승용",72158
"경기","계","2020. 04","영업용","승합",32569
"경기","계","2020. 04","영업용","화물",113913
"경기","계","2020. 04","영업용","특수",11150
"세종","계","2020. 04","관용","승용",339
"세종","계","2020. 04","관용","승합",166
"세종","계","2020. 04","관용","화물",223
"세종","계","2020. 04","관용","특수",41
"세종","계","2020. 04","자가용","승용",144808
"세종","계","2020. 04","자가용","승합",3851
"세종","계","2020. 04","자가용","화물",14633
"세종","계","2020. 04","자가용","특수",187
"세종","계","2020. 04","영업용","승용",517
"세종","계","2020. 04","영업용","승합",426
"세종","계","2020. 04","영업용","화물",1604
"세종","계","2020. 04","영업용","특수",162
"강원","계","2020. 04","관용","승용",1812
"강원","계","2020. 04","관용","승합",1515
"강원","계","2020. 04","관용","화물",2473
"강원","계","2020. 04","관용","특수",174
"강원","계","2020. 04","자가용","승용",586252
"강원","계","2020. 04","자가용","승합",24231
"강원","계","2020. 04","자가용","화물",145809
"강원","계","2020. 04","자가용","특수",1446
"강원","계","2020. 04","영업용","승용",11862
"강원","계","2020. 04","영업용","승합",3238
"강원","계","2020. 04","영업용","화물",8413
"강원","계","2020. 04","영업용","특수",1658
"충북","계","2020. 04","관용","승용",1354
"충북","계","2020. 04","관용","승합",961
"충북","계","2020. 04","관용","화물",1567
"충북","계","2020. 04","관용","특수",118
"충북","계","2020. 04","자가용","승용",638399
"충북","계","2020. 04","자가용","승합",25198
"충북","계","2020. 04","자가용","화물",142488
"충북","계","2020. 04","자가용","특수",1340
"충북","계","2020. 04","영업용","승용",14752
"충북","계","2020. 04","영업용","승합",3827
"충북","계","2020. 04","영업용","화물",14036
"충북","계","2020. 04","영업용","특수",2720
"충남","계","2020. 04","관용","승용",1892
"충남","계","2020. 04","관용","승합",1174
"충남","계","2020. 04","관용","화물",2355
"충남","계","2020. 04","관용","특수",261
"충남","계","2020. 04","자가용","승용",841220
"충남","계","2020. 04","자가용","승합",35528
"충남","계","2020. 04","자가용","화물",203032
"충남","계","2020. 04","자가용","특수",1763
"충남","계","2020. 04","영업용","승용",13223
"충남","계","2020. 04","영업용","승합",5421
"충남","계","2020. 04","영업용","화물",17502
"충남","계","2020. 04","영업용","특수",2928
"전북","계","2020. 04","관용","승용",1731
"전북","계","2020. 04","관용","승합",1258
"전북","계","2020. 04","관용","화물",2060
"전북","계","2020. 04","관용","특수",155
"전북","계","2020. 04","자가용","승용",689948
"전북","계","2020. 04","자가용","승합",27452
"전북","계","2020. 04","자가용","화물",168817
"전북","계","2020. 04","자가용","특수",1626
"전북","계","2020. 04","영업용","승용",18914
"전북","계","2020. 04","영업용","승합",4226
"전북","계","2020. 04","영업용","화물",15215
"전북","계","2020. 04","영업용","특수",2171
"전남","계","2020. 04","관용","승용",2137
"전남","계","2020. 04","관용","승합",1540
"전남","계","2020. 04","관용","화물",2458
"전남","계","2020. 04","관용","특수",177
"전남","계","2020. 04","자가용","승용",670407
"전남","계","2020. 04","자가용","승합",30315
"전남","계","2020. 04","자가용","화물",220925
"전남","계","2020. 04","자가용","특수",2211
"전남","계","2020. 04","영업용","승용",102099
"전남","계","2020. 04","영업용","승합",7679
"전남","계","2020. 04","영업용","화물",20077
"전남","계","2020. 04","영업용","특수",4763
"경북","계","2020. 04","관용","승용",2596
"경북","계","2020. 04","관용","승합",1718
"경북","계","2020. 04","관용","화물",2973
"경북","계","2020. 04","관용","특수",249
"경북","계","2020. 04","자가용","승용",1061204
"경북","계","2020. 04","자가용","승합",41614
"경북","계","2020. 04","자가용","화물",291367
"경북","계","2020. 04","자가용","특수",2876
"경북","계","2020. 04","영업용","승용",14181
"경북","계","2020. 04","영업용","승합",5368
"경북","계","2020. 04","영업용","화물",23769
"경북","계","2020. 04","영업용","특수",4994
"경남","계","2020. 04","관용","승용",2447
"경남","계","2020. 04","관용","승합",1897
"경남","계","2020. 04","관용","화물",2569
"경남","계","2020. 04","관용","특수",194
"경남","계","2020. 04","자가용","승용",1326267
"경남","계","2020. 04","자가용","승합",45305
"경남","계","2020. 04","자가용","화물",265284
"경남","계","2020. 04","자가용","특수",2453
"경남","계","2020. 04","영업용","승용",52812
"경남","계","2020. 04","영업용","승합",7468
"경남","계","2020. 04","영업용","화물",24660
"경남","계","2020. 04","영업용","특수",5421
"제주","계","2020. 04","관용","승용",859
"제주","계","2020. 04","관용","승합",454
"제주","계","2020. 04","관용","화물",1034
"제주","계","2020. 04","관용","특수",81
"제주","계","2020. 04","자가용","승용",283971
"제주","계","2020. 04","자가용","승합",11412
"제주","계","2020. 04","자가용","화물",75544
"제주","계","2020. 04","자가용","특수",650
"제주","계","2020. 04","영업용","승용",210963
"제주","계","2020. 04","영업용","승합",7307
"제주","계","2020. 04","영업용","화물",3653
"제주","계","2020. 04","영업용","특수",641
"서울","계","2020. 05","관용","승용",4489
"서울","계","2020. 05","관용","승합",3595
"서울","계","2020. 05","관용","화물",4029
"서울","계","2020. 05","관용","특수",350
"서울","계","2020. 05","자가용","승용",2553895
"서울","계","2020. 05","자가용","승합",91020
"서울","계","2020. 05","자가용","화물",268785
"서울","계","2020. 05","자가용","특수",3186
"서울","계","2020. 05","영업용","승용",124526
"서울","계","2020. 05","영업용","승합",16715
"서울","계","2020. 05","영업용","화물",57802
"서울","계","2020. 05","영업용","특수",4961
"부산","계","2020. 05","관용","승용",1678
"부산","계","2020. 05","관용","승합",1243
"부산","계","2020. 05","관용","화물",1636
"부산","계","2020. 05","관용","특수",135
"부산","계","2020. 05","자가용","승용",1085671
"부산","계","2020. 05","자가용","승합",35625
"부산","계","2020. 05","자가용","화물",151928
"부산","계","2020. 05","자가용","특수",1645
"부산","계","2020. 05","영업용","승용",78294
"부산","계","2020. 05","영업용","승합",6177
"부산","계","2020. 05","영업용","화물",33535
"부산","계","2020. 05","영업용","특수",8838
"대구","계","2020. 05","관용","승용",1038
"대구","계","2020. 05","관용","승합",893
"대구","계","2020. 05","관용","화물",1374
"대구","계","2020. 05","관용","특수",122
"대구","계","2020. 05","자가용","승용",975837
"대구","계","2020. 05","자가용","승합",26287
"대구","계","2020. 05","자가용","화물",139006
"대구","계","2020. 05","자가용","특수",1087
"대구","계","2020. 05","영업용","승용",26483
"대구","계","2020. 05","영업용","승합",4049
"대구","계","2020. 05","영업용","화물",19056
"대구","계","2020. 05","영업용","특수",1986
"광주","계","2020. 05","관용","승용",811
"광주","계","2020. 05","관용","승합",589
"광주","계","2020. 05","관용","화물",732
"광주","계","2020. 05","관용","특수",76
"광주","계","2020. 05","자가용","승용",552300
"광주","계","2020. 05","자가용","승합",17171
"광주","계","2020. 05","자가용","화물",78430
"광주","계","2020. 05","자가용","특수",902
"광주","계","2020. 05","영업용","승용",14918
"광주","계","2020. 05","영업용","승합",2485
"광주","계","2020. 05","영업용","화물",13025
"광주","계","2020. 05","영업용","특수",1800
"대전","계","2020. 05","관용","승용",672
"대전","계","2020. 05","관용","승합",529
"대전","계","2020. 05","관용","화물",633
"대전","계","2020. 05","관용","특수",77
"대전","계","2020. 05","자가용","승용",555382
"대전","계","2020. 05","자가용","승합",18032
"대전","계","2020. 05","자가용","화물",74284
"대전","계","2020. 05","자가용","특수",879
"대전","계","2020. 05","영업용","승용",14116
"대전","계","2020. 05","영업용","승합",2152
"대전","계","2020. 05","영업용","화물",11469
"대전","계","2020. 05","영업용","특수",1642
"울산","계","2020. 05","관용","승용",694
"울산","계","2020. 05","관용","승합",429
"울산","계","2020. 05","관용","화물",644
"울산","계","2020. 05","관용","특수",42
"울산","계","2020. 05","자가용","승용",471539
"울산","계","2020. 05","자가용","승합",12461
"울산","계","2020. 05","자가용","화물",61415
"울산","계","2020. 05","자가용","특수",652
"울산","계","2020. 05","영업용","승용",7906
"울산","계","2020. 05","영업용","승합",1955
"울산","계","2020. 05","영업용","화물",9309
"울산","계","2020. 05","영업용","특수",2163
"경기","계","2020. 05","관용","승용",7219
"경기","계","2020. 05","관용","승합",4231
"경기","계","2020. 05","관용","화물",5676
"경기","계","2020. 05","관용","특수",501
"경기","계","2020. 05","자가용","승용",4746030
"경기","계","2020. 05","자가용","승합",171523
"경기","계","2020. 05","자가용","화물",683025
"경기","계","2020. 05","자가용","특수",7223
"경기","계","2020. 05","영업용","승용",71469
"경기","계","2020. 05","영업용","승합",32424
"경기","계","2020. 05","영업용","화물",114150
"경기","계","2020. 05","영업용","특수",11182
"세종","계","2020. 05","관용","승용",337
"세종","계","2020. 05","관용","승합",166
"세종","계","2020. 05","관용","화물",226
"세종","계","2020. 05","관용","특수",41
"세종","계","2020. 05","자가용","승용",145200
"세종","계","2020. 05","자가용","승합",3810
"세종","계","2020. 05","자가용","화물",14544
"세종","계","2020. 05","자가용","특수",200
"세종","계","2020. 05","영업용","승용",515
"세종","계","2020. 05","영업용","승합",426
"세종","계","2020. 05","영업용","화물",1603
"세종","계","2020. 05","영업용","특수",164
"강원","계","2020. 05","관용","승용",1818
"강원","계","2020. 05","관용","승합",1548
"강원","계","2020. 05","관용","화물",2491
"강원","계","2020. 05","관용","특수",173
"강원","계","2020. 05","자가용","승용",588893
"강원","계","2020. 05","자가용","승합",24212
"강원","계","2020. 05","자가용","화물",146155
"강원","계","2020. 05","자가용","특수",1470
"강원","계","2020. 05","영업용","승용",11828
"강원","계","2020. 05","영업용","승합",3236
"강원","계","2020. 05","영업용","화물",8420
"강원","계","2020. 05","영업용","특수",1664
"충북","계","2020. 05","관용","승용",1352
"충북","계","2020. 05","관용","승합",977
"충북","계","2020. 05","관용","화물",1572
"충북","계","2020. 05","관용","특수",119
"충북","계","2020. 05","자가용","승용",640943
"충북","계","2020. 05","자가용","승합",25161
"충북","계","2020. 05","자가용","화물",142586
"충북","계","2020. 05","자가용","특수",1386
"충북","계","2020. 05","영업용","승용",14786
"충북","계","2020. 05","영업용","승합",3825
"충북","계","2020. 05","영업용","화물",14048
"충북","계","2020. 05","영업용","특수",2717
"충남","계","2020. 05","관용","승용",1899
"충남","계","2020. 05","관용","승합",1198
"충남","계","2020. 05","관용","화물",2375
"충남","계","2020. 05","관용","특수",261
"충남","계","2020. 05","자가용","승용",844309
"충남","계","2020. 05","자가용","승합",35475
"충남","계","2020. 05","자가용","화물",203185
"충남","계","2020. 05","자가용","특수",1802
"충남","계","2020. 05","영업용","승용",13195
"충남","계","2020. 05","영업용","승합",5404
"충남","계","2020. 05","영업용","화물",17524
"충남","계","2020. 05","영업용","특수",2930
"전북","계","2020. 05","관용","승용",1739
"전북","계","2020. 05","관용","승합",1294
"전북","계","2020. 05","관용","화물",2065
"전북","계","2020. 05","관용","특수",157
"전북","계","2020. 05","자가용","승용",692471
"전북","계","2020. 05","자가용","승합",27382
"전북","계","2020. 05","자가용","화물",168775
"전북","계","2020. 05","자가용","특수",1650
"전북","계","2020. 05","영업용","승용",18632
"전북","계","2020. 05","영업용","승합",4234
"전북","계","2020. 05","영업용","화물",15217
"전북","계","2020. 05","영업용","특수",2174
"전남","계","2020. 05","관용","승용",2142
"전남","계","2020. 05","관용","승합",1554
"전남","계","2020. 05","관용","화물",2470
"전남","계","2020. 05","관용","특수",177
"전남","계","2020. 05","자가용","승용",673094
"전남","계","2020. 05","자가용","승합",30285
"전남","계","2020. 05","자가용","화물",221374
"전남","계","2020. 05","자가용","특수",2271
"전남","계","2020. 05","영업용","승용",102710
"전남","계","2020. 05","영업용","승합",7646
"전남","계","2020. 05","영업용","화물",20080
"전남","계","2020. 05","영업용","특수",4774
"경북","계","2020. 05","관용","승용",2599
"경북","계","2020. 05","관용","승합",1746
"경북","계","2020. 05","관용","화물",2966
"경북","계","2020. 05","관용","특수",248
"경북","계","2020. 05","자가용","승용",1063881
"경북","계","2020. 05","자가용","승합",41585
"경북","계","2020. 05","자가용","화물",291574
"경북","계","2020. 05","자가용","특수",2944
"경북","계","2020. 05","영업용","승용",14112
"경북","계","2020. 05","영업용","승합",5361
"경북","계","2020. 05","영업용","화물",23782
"경북","계","2020. 05","영업용","특수",4998
"경남","계","2020. 05","관용","승용",2448
"경남","계","2020. 05","관용","승합",1900
"경남","계","2020. 05","관용","화물",2576
"경남","계","2020. 05","관용","특수",197
"경남","계","2020. 05","자가용","승용",1329751
"경남","계","2020. 05","자가용","승합",45237
"경남","계","2020. 05","자가용","화물",265318
"경남","계","2020. 05","자가용","특수",2513
"경남","계","2020. 05","영업용","승용",53948
"경남","계","2020. 05","영업용","승합",7437
"경남","계","2020. 05","영업용","화물",24713
"경남","계","2020. 05","영업용","특수",5458
"제주","계","2020. 05","관용","승용",859
"제주","계","2020. 05","관용","승합",470
"제주","계","2020. 05","관용","화물",1039
"제주","계","2020. 05","관용","특수",83
"제주","계","2020. 05","자가용","승용",285407
"제주","계","2020. 05","자가용","승합",11377
"제주","계","2020. 05","자가용","화물",75600
"제주","계","2020. 05","자가용","특수",653
"제주","계","2020. 05","영업용","승용",214455
"제주","계","2020. 05","영업용","승합",7295
"제주","계","2020. 05","영업용","화물",3646
"제주","계","2020. 05","영업용","특수",637
"서울","계","2020. 06","관용","승용",4536
"서울","계","2020. 06","관용","승합",3710
"서울","계","2020. 06","관용","화물",4061
"서울","계","2020. 06","관용","특수",350
"서울","계","2020. 06","자가용","승용",2562705
"서울","계","2020. 06","자가용","승합",90549
"서울","계","2020. 06","자가용","화물",268585
"서울","계","2020. 06","자가용","특수",3312
"서울","계","2020. 06","영업용","승용",124633
"서울","계","2020. 06","영업용","승합",16330
"서울","계","2020. 06","영업용","화물",57972
"서울","계","2020. 06","영업용","특수",4967
"부산","계","2020. 06","관용","승용",1681
"부산","계","2020. 06","관용","승합",1312
"부산","계","2020. 06","관용","화물",1648
"부산","계","2020. 06","관용","특수",135
"부산","계","2020. 06","자가용","승용",1089974
"부산","계","2020. 06","자가용","승합",35453
"부산","계","2020. 06","자가용","화물",151750
"부산","계","2020. 06","자가용","특수",1675
"부산","계","2020. 06","영업용","승용",79000
"부산","계","2020. 06","영업용","승합",6178
"부산","계","2020. 06","영업용","화물",33664
"부산","계","2020. 06","영업용","특수",8856
"대구","계","2020. 06","관용","승용",991
"대구","계","2020. 06","관용","승합",892
"대구","계","2020. 06","관용","화물",1384
"대구","계","2020. 06","관용","특수",121
"대구","계","2020. 06","자가용","승용",979663
"대구","계","2020. 06","자가용","승합",26173
"대구","계","2020. 06","자가용","화물",138710
"대구","계","2020. 06","자가용","특수",1152
"대구","계","2020. 06","영업용","승용",26427
"대구","계","2020. 06","영업용","승합",4051
"대구","계","2020. 06","영업용","화물",19114
"대구","계","2020. 06","영업용","특수",1984
"광주","계","2020. 06","관용","승용",824
"광주","계","2020. 06","관용","승합",601
"광주","계","2020. 06","관용","화물",735
"광주","계","2020. 06","관용","특수",81
"광주","계","2020. 06","자가용","승용",554788
"광주","계","2020. 06","자가용","승합",17107
"광주","계","2020. 06","자가용","화물",78329
"광주","계","2020. 06","자가용","특수",937
"광주","계","2020. 06","영업용","승용",14875
"광주","계","2020. 06","영업용","승합",2469
"광주","계","2020. 06","영업용","화물",13015
"광주","계","2020. 06","영업용","특수",1794
"대전","계","2020. 06","관용","승용",676
"대전","계","2020. 06","관용","승합",543
"대전","계","2020. 06","관용","화물",638
"대전","계","2020. 06","관용","특수",79
"대전","계","2020. 06","자가용","승용",557138
"대전","계","2020. 06","자가용","승합",17967
"대전","계","2020. 06","자가용","화물",74155
"대전","계","2020. 06","자가용","특수",907
"대전","계","2020. 06","영업용","승용",13885
"대전","계","2020. 06","영업용","승합",2150
"대전","계","2020. 06","영업용","화물",11490
"대전","계","2020. 06","영업용","특수",1638
"울산","계","2020. 06","관용","승용",689
"울산","계","2020. 06","관용","승합",443
"울산","계","2020. 06","관용","화물",645
"울산","계","2020. 06","관용","특수",42
"울산","계","2020. 06","자가용","승용",473321
"울산","계","2020. 06","자가용","승합",12419
"울산","계","2020. 06","자가용","화물",61432
"울산","계","2020. 06","자가용","특수",680
"울산","계","2020. 06","영업용","승용",8169
"울산","계","2020. 06","영업용","승합",1945
"울산","계","2020. 06","영업용","화물",9351
"울산","계","2020. 06","영업용","특수",2171
"경기","계","2020. 06","관용","승용",7290
"경기","계","2020. 06","관용","승합",4304
"경기","계","2020. 06","관용","화물",5706
"경기","계","2020. 06","관용","특수",515
"경기","계","2020. 06","자가용","승용",4774495
"경기","계","2020. 06","자가용","승합",170987
"경기","계","2020. 06","자가용","화물",684905
"경기","계","2020. 06","자가용","특수",7476
"경기","계","2020. 06","영업용","승용",71090
"경기","계","2020. 06","영업용","승합",32413
"경기","계","2020. 06","영업용","화물",114702
"경기","계","2020. 06","영업용","특수",11182
"세종","계","2020. 06","관용","승용",336
"세종","계","2020. 06","관용","승합",173
"세종","계","2020. 06","관용","화물",231
"세종","계","2020. 06","관용","특수",42
"세종","계","2020. 06","자가용","승용",145635
"세종","계","2020. 06","자가용","승합",3764
"세종","계","2020. 06","자가용","화물",14532
"세종","계","2020. 06","자가용","특수",202
"세종","계","2020. 06","영업용","승용",516
"세종","계","2020. 06","영업용","승합",426
"세종","계","2020. 06","영업용","화물",1603
"세종","계","2020. 06","영업용","특수",163
"강원","계","2020. 06","관용","승용",1829
"강원","계","2020. 06","관용","승합",1570
"강원","계","2020. 06","관용","화물",2488
"강원","계","2020. 06","관용","특수",176
"강원","계","2020. 06","자가용","승용",592408
"강원","계","2020. 06","자가용","승합",24203
"강원","계","2020. 06","자가용","화물",146671
"강원","계","2020. 06","자가용","특수",1500
"강원","계","2020. 06","영업용","승용",11766
"강원","계","2020. 06","영업용","승합",3227
"강원","계","2020. 06","영업용","화물",8430
"강원","계","2020. 06","영업용","특수",1686
"충북","계","2020. 06","관용","승용",1355
"충북","계","2020. 06","관용","승합",984
"충북","계","2020. 06","관용","화물",1587
"충북","계","2020. 06","관용","특수",117
"충북","계","2020. 06","자가용","승용",644877
"충북","계","2020. 06","자가용","승합",25180
"충북","계","2020. 06","자가용","화물",142872
"충북","계","2020. 06","자가용","특수",1441
"충북","계","2020. 06","영업용","승용",14721
"충북","계","2020. 06","영업용","승합",3823
"충북","계","2020. 06","영업용","화물",14088
"충북","계","2020. 06","영업용","특수",2725
"충남","계","2020. 06","관용","승용",1906
"충남","계","2020. 06","관용","승합",1202
"충남","계","2020. 06","관용","화물",2369
"충남","계","2020. 06","관용","특수",264
"충남","계","2020. 06","자가용","승용",849144
"충남","계","2020. 06","자가용","승합",35384
"충남","계","2020. 06","자가용","화물",203513
"충남","계","2020. 06","자가용","특수",1867
"충남","계","2020. 06","영업용","승용",13196
"충남","계","2020. 06","영업용","승합",5402
"충남","계","2020. 06","영업용","화물",17579
"충남","계","2020. 06","영업용","특수",2947
"전북","계","2020. 06","관용","승용",1758
"전북","계","2020. 06","관용","승합",1324
"전북","계","2020. 06","관용","화물",2085
"전북","계","2020. 06","관용","특수",160
"전북","계","2020. 06","자가용","승용",695370
"전북","계","2020. 06","자가용","승합",27329
"전북","계","2020. 06","자가용","화물",169059
"전북","계","2020. 06","자가용","특수",1689
"전북","계","2020. 06","영업용","승용",18614
"전북","계","2020. 06","영업용","승합",4214
"전북","계","2020. 06","영업용","화물",15250
"전북","계","2020. 06","영업용","특수",2181
"전남","계","2020. 06","관용","승용",2172
"전남","계","2020. 06","관용","승합",1582
"전남","계","2020. 06","관용","화물",2473
"전남","계","2020. 06","관용","특수",182
"전남","계","2020. 06","자가용","승용",676270
"전남","계","2020. 06","자가용","승합",30292
"전남","계","2020. 06","자가용","화물",221992
"전남","계","2020. 06","자가용","특수",2291
"전남","계","2020. 06","영업용","승용",104277
"전남","계","2020. 06","영업용","승합",7713
"전남","계","2020. 06","영업용","화물",20166
"전남","계","2020. 06","영업용","특수",4802
"경북","계","2020. 06","관용","승용",2618
"경북","계","2020. 06","관용","승합",1798
"경북","계","2020. 06","관용","화물",2999
"경북","계","2020. 06","관용","특수",251
"경북","계","2020. 06","자가용","승용",1067721
"경북","계","2020. 06","자가용","승합",41537
"경북","계","2020. 06","자가용","화물",292039
"경북","계","2020. 06","자가용","특수",3049
"경북","계","2020. 06","영업용","승용",14020
"경북","계","2020. 06","영업용","승합",5356
"경북","계","2020. 06","영업용","화물",23875
"경북","계","2020. 06","영업용","특수",4998
"경남","계","2020. 06","관용","승용",2475
"경남","계","2020. 06","관용","승합",1925
"경남","계","2020. 06","관용","화물",2582
"경남","계","2020. 06","관용","특수",201
"경남","계","2020. 06","자가용","승용",1335020
"경남","계","2020. 06","자가용","승합",45081
"경남","계","2020. 06","자가용","화물",265418
"경남","계","2020. 06","자가용","특수",2605
"경남","계","2020. 06","영업용","승용",55817
"경남","계","2020. 06","영업용","승합",7407
"경남","계","2020. 06","영업용","화물",24708
"경남","계","2020. 06","영업용","특수",5451
"제주","계","2020. 06","관용","승용",862
"제주","계","2020. 06","관용","승합",481
"제주","계","2020. 06","관용","화물",1042
"제주","계","2020. 06","관용","특수",83
"제주","계","2020. 06","자가용","승용",286887
"제주","계","2020. 06","자가용","승합",11363
"제주","계","2020. 06","자가용","화물",75672
"제주","계","2020. 06","자가용","특수",654
"제주","계","2020. 06","영업용","승용",217738
"제주","계","2020. 06","영업용","승합",7291
"제주","계","2020. 06","영업용","화물",3662
"제주","계","2020. 06","영업용","특수",644
"서울","계","2020. 07","관용","승용",4528
"서울","계","2020. 07","관용","승합",3789
"서울","계","2020. 07","관용","화물",4056
"서울","계","2020. 07","관용","특수",353
"서울","계","2020. 07","자가용","승용",2567831
"서울","계","2020. 07","자가용","승합",90119
"서울","계","2020. 07","자가용","화물",268452
"서울","계","2020. 07","자가용","특수",3387
"서울","계","2020. 07","영업용","승용",125781
"서울","계","2020. 07","영업용","승합",15937
"서울","계","2020. 07","영업용","화물",57941
"서울","계","2020. 07","영업용","특수",4975
"부산","계","2020. 07","관용","승용",1661
"부산","계","2020. 07","관용","승합",1310
"부산","계","2020. 07","관용","화물",1625
"부산","계","2020. 07","관용","특수",137
"부산","계","2020. 07","자가용","승용",1091627
"부산","계","2020. 07","자가용","승합",35296
"부산","계","2020. 07","자가용","화물",151529
"부산","계","2020. 07","자가용","특수",1724
"부산","계","2020. 07","영업용","승용",81514
"부산","계","2020. 07","영업용","승합",6226
"부산","계","2020. 07","영업용","화물",33692
"부산","계","2020. 07","영업용","특수",8858
"대구","계","2020. 07","관용","승용",985
"대구","계","2020. 07","관용","승합",886
"대구","계","2020. 07","관용","화물",1368
"대구","계","2020. 07","관용","특수",121
"대구","계","2020. 07","자가용","승용",983786
"대구","계","2020. 07","자가용","승합",26121
"대구","계","2020. 07","자가용","화물",138904
"대구","계","2020. 07","자가용","특수",1198
"대구","계","2020. 07","영업용","승용",26513
"대구","계","2020. 07","영업용","승합",4049
"대구","계","2020. 07","영업용","화물",19142
"대구","계","2020. 07","영업용","특수",1996
"광주","계","2020. 07","관용","승용",817
"광주","계","2020. 07","관용","승합",605
"광주","계","2020. 07","관용","화물",719
"광주","계","2020. 07","관용","특수",81
"광주","계","2020. 07","자가용","승용",556262
"광주","계","2020. 07","자가용","승합",17122
"광주","계","2020. 07","자가용","화물",78595
"광주","계","2020. 07","자가용","특수",981
"광주","계","2020. 07","영업용","승용",14873
"광주","계","2020. 07","영업용","승합",2459
"광주","계","2020. 07","영업용","화물",13079
"광주","계","2020. 07","영업용","특수",1798
"대전","계","2020. 07","관용","승용",658
"대전","계","2020. 07","관용","승합",534
"대전","계","2020. 07","관용","화물",642
"대전","계","2020. 07","관용","특수",80
"대전","계","2020. 07","자가용","승용",558750
"대전","계","2020. 07","자가용","승합",17967
"대전","계","2020. 07","자가용","화물",74349
"대전","계","2020. 07","자가용","특수",945
"대전","계","2020. 07","영업용","승용",13932
"대전","계","2020. 07","영업용","승합",2146
"대전","계","2020. 07","영업용","화물",11493
"대전","계","2020. 07","영업용","특수",1642
"울산","계","2020. 07","관용","승용",684
"울산","계","2020. 07","관용","승합",448
"울산","계","2020. 07","관용","화물",644
"울산","계","2020. 07","관용","특수",42
"울산","계","2020. 07","자가용","승용",475284
"울산","계","2020. 07","자가용","승합",12409
"울산","계","2020. 07","자가용","화물",61552
"울산","계","2020. 07","자가용","특수",709
"울산","계","2020. 07","영업용","승용",8185
"울산","계","2020. 07","영업용","승합",1943
"울산","계","2020. 07","영업용","화물",9344
"울산","계","2020. 07","영업용","특수",2171
"경기","계","2020. 07","관용","승용",7239
"경기","계","2020. 07","관용","승합",4280
"경기","계","2020. 07","관용","화물",5675
"경기","계","2020. 07","관용","특수",518
"경기","계","2020. 07","자가용","승용",4792695
"경기","계","2020. 07","자가용","승합",170608
"경기","계","2020. 07","자가용","화물",685096
"경기","계","2020. 07","자가용","특수",7922
"경기","계","2020. 07","영업용","승용",71037
"경기","계","2020. 07","영업용","승합",32392
"경기","계","2020. 07","영업용","화물",115112
"경기","계","2020. 07","영업용","특수",11172
"세종","계","2020. 07","관용","승용",336
"세종","계","2020. 07","관용","승합",176
"세종","계","2020. 07","관용","화물",230
"세종","계","2020. 07","관용","특수",40
"세종","계","2020. 07","자가용","승용",146467
"세종","계","2020. 07","자가용","승합",3747
"세종","계","2020. 07","자가용","화물",14616
"세종","계","2020. 07","자가용","특수",215
"세종","계","2020. 07","영업용","승용",516
"세종","계","2020. 07","영업용","승합",425
"세종","계","2020. 07","영업용","화물",1604
"세종","계","2020. 07","영업용","특수",163
"강원","계","2020. 07","관용","승용",1828
"강원","계","2020. 07","관용","승합",1574
"강원","계","2020. 07","관용","화물",2489
"강원","계","2020. 07","관용","특수",179
"강원","계","2020. 07","자가용","승용",595257
"강원","계","2020. 07","자가용","승합",24202
"강원","계","2020. 07","자가용","화물",147188
"강원","계","2020. 07","자가용","특수",1537
"강원","계","2020. 07","영업용","승용",11863
"강원","계","2020. 07","영업용","승합",3220
"강원","계","2020. 07","영업용","화물",8456
"강원","계","2020. 07","영업용","특수",1699
"충북","계","2020. 07","관용","승용",1342
"충북","계","2020. 07","관용","승합",997
"충북","계","2020. 07","관용","화물",1586
"충북","계","2020. 07","관용","특수",118
"충북","계","2020. 07","자가용","승용",647201
"충북","계","2020. 07","자가용","승합",25097
"충북","계","2020. 07","자가용","화물",142860
"충북","계","2020. 07","자가용","특수",1489
"충북","계","2020. 07","영업용","승용",14913
"충북","계","2020. 07","영업용","승합",3815
"충북","계","2020. 07","영업용","화물",14088
"충북","계","2020. 07","영업용","특수",2731
"충남","계","2020. 07","관용","승용",1862
"충남","계","2020. 07","관용","승합",1208
"충남","계","2020. 07","관용","화물",2373
"충남","계","2020. 07","관용","특수",264
"충남","계","2020. 07","자가용","승용",852716
"충남","계","2020. 07","자가용","승합",35396
"충남","계","2020. 07","자가용","화물",203998
"충남","계","2020. 07","자가용","특수",1906
"충남","계","2020. 07","영업용","승용",13201
"충남","계","2020. 07","영업용","승합",5363
"충남","계","2020. 07","영업용","화물",17660
"충남","계","2020. 07","영업용","특수",2950
"전북","계","2020. 07","관용","승용",1764
"전북","계","2020. 07","관용","승합",1316
"전북","계","2020. 07","관용","화물",2074
"전북","계","2020. 07","관용","특수",157
"전북","계","2020. 07","자가용","승용",697178
"전북","계","2020. 07","자가용","승합",27327
"전북","계","2020. 07","자가용","화물",169465
"전북","계","2020. 07","자가용","특수",1722
"전북","계","2020. 07","영업용","승용",18451
"전북","계","2020. 07","영업용","승합",4195
"전북","계","2020. 07","영업용","화물",15290
"전북","계","2020. 07","영업용","특수",2190
